"date","season","year","month","holiday","weekday","workingday","weathersit","temperature","atemp","humidity","wind_speed","casual_users","registered_users","cnt","temp_range","temperature_range","recency","frequency","monetary","season_group","hour_group","humidity_group","Season Group","Hour Group","Humidity Group"
"2011-01-22","Winter","2011","January","No","Saturday","No","Clear","0.0591304","0.0790696","0.4","0.17197","93","888","981","Sangat Dingin","Very Cold","709","1","981","","Evening","Low Humidity","","Evening","Moderate Humidity"
"2011-01-23","Winter","2011","January","No","Sunday","No","Clear","0.0965217","0.0988391","0.436522","0.2466","150","836","986","Sangat Dingin","Very Cold","708","1","986","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-01-24","Winter","2011","January","No","Monday","Yes","Clear","0.0973913","0.11793","0.491739","0.15833","86","1330","1416","Sangat Dingin","Very Cold","707","1","1416","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-01-25","Winter","2011","January","No","Tuesday","Yes","Mist","0.223478","0.234526","0.616957","0.129796","186","1799","1985","Dingin","Cold","706","1","1985","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-26","Winter","2011","January","No","Wednesday","Yes","Light Snow/Rain","0.2175","0.2036","0.8625","0.29385","34","472","506","Dingin","Cold","705","1","506","","Night","High Humidity","","Night","High Humidity"
"2011-01-27","Winter","2011","January","No","Thursday","Yes","Clear","0.195","0.2197","0.6875","0.113837","15","416","431","Sangat Dingin","Very Cold","704","1","431","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-28","Winter","2011","January","No","Friday","Yes","Mist","0.203478","0.223317","0.793043","0.1233","38","1129","1167","Dingin","Cold","703","1","1167","","Night","High Humidity","","Night","High Humidity"
"2011-01-29","Winter","2011","January","No","Saturday","No","Clear","0.196522","0.212126","0.651739","0.145365","123","975","1098","Sangat Dingin","Very Cold","702","1","1098","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-01-30","Winter","2011","January","No","Sunday","No","Clear","0.216522","0.250322","0.722174","0.0739826","140","956","1096","Dingin","Cold","701","1","1096","","Night","High Humidity","","Morning","High Humidity"
"2011-01-31","Winter","2011","January","No","Monday","Yes","Mist","0.180833","0.18625","0.60375","0.187192","42","1459","1501","Sangat Dingin","Very Cold","700","1","1501","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-01","Winter","2011","February","No","Tuesday","Yes","Mist","0.192174","0.23453","0.829565","0.053213","47","1313","1360","Sangat Dingin","Very Cold","699","1","1360","","Morning","High Humidity","","Morning","High Humidity"
"2011-02-02","Winter","2011","February","No","Wednesday","Yes","Mist","0.26","0.254417","0.775417","0.264308","72","1454","1526","Dingin","Cold","698","1","1526","","Morning","High Humidity","","Morning","High Humidity"
"2011-02-03","Winter","2011","February","No","Thursday","Yes","Clear","0.186957","0.177878","0.437826","0.277752","61","1489","1550","Sangat Dingin","Very Cold","697","1","1550","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-04","Winter","2011","February","No","Friday","Yes","Mist","0.211304","0.228587","0.585217","0.127839","88","1620","1708","Dingin","Cold","696","1","1708","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-05","Winter","2011","February","No","Saturday","No","Mist","0.233333","0.243058","0.929167","0.161079","100","905","1005","Dingin","Cold","695","1","1005","","Morning","High Humidity","","Afternoon","High Humidity"
"2011-02-06","Winter","2011","February","No","Sunday","No","Clear","0.285833","0.291671","0.568333","0.1418","354","1269","1623","Dingin","Cold","694","1","1623","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-02-07","Winter","2011","February","No","Monday","Yes","Clear","0.271667","0.303658","0.738333","0.0454083","120","1592","1712","Dingin","Cold","693","1","1712","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-02-08","Winter","2011","February","No","Tuesday","Yes","Clear","0.220833","0.198246","0.537917","0.36195","64","1466","1530","Dingin","Cold","692","1","1530","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-02-09","Winter","2011","February","No","Wednesday","Yes","Mist","0.134783","0.144283","0.494783","0.188839","53","1552","1605","Sangat Dingin","Very Cold","691","1","1605","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-02-10","Winter","2011","February","No","Thursday","Yes","Clear","0.144348","0.149548","0.437391","0.221935","47","1491","1538","Sangat Dingin","Very Cold","690","1","1538","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-02-11","Winter","2011","February","No","Friday","Yes","Clear","0.189091","0.213509","0.506364","0.10855","149","1597","1746","Sangat Dingin","Very Cold","689","1","1746","","Afternoon","Moderate Humidity","","Evening","Moderate Humidity"
"2011-02-12","Winter","2011","February","No","Saturday","No","Clear","0.2225","0.232954","0.544167","0.203367","288","1184","1472","Dingin","Cold","688","1","1472","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-02-13","Winter","2011","February","No","Sunday","No","Clear","0.316522","0.324113","0.457391","0.260883","397","1192","1589","Dingin","Cold","687","1","1589","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-02-14","Winter","2011","February","No","Monday","Yes","Clear","0.415","0.39835","0.375833","0.417908","208","1705","1913","Sedang","Mild","686","1","1913","","Evening","Low Humidity","","Evening","Low Humidity"
"2011-02-15","Winter","2011","February","No","Tuesday","Yes","Clear","0.266087","0.254274","0.314348","0.291374","140","1675","1815","Dingin","Cold","685","1","1815","","Evening","Low Humidity","","Evening","Low Humidity"
"2011-02-16","Winter","2011","February","No","Wednesday","Yes","Clear","0.318261","0.3162","0.423478","0.251791","218","1897","2115","Dingin","Cold","684","1","2115","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-02-17","Winter","2011","February","No","Thursday","Yes","Clear","0.435833","0.428658","0.505","0.230104","259","2216","2475","Sedang","Mild","683","1","2475","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-02-18","Winter","2011","February","No","Friday","Yes","Clear","0.521667","0.511983","0.516667","0.264925","579","2348","2927","Sedang","Mild","682","1","2927","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-02-19","Winter","2011","February","No","Saturday","No","Clear","0.399167","0.391404","0.187917","0.507463","532","1103","1635","Dingin","Cold","681","1","1635","","Night","Low Humidity","","Night","Low Humidity"
"2011-02-20","Winter","2011","February","No","Sunday","No","Clear","0.285217","0.27733","0.407826","0.223235","639","1173","1812","Dingin","Cold","680","1","1812","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-02-21","Winter","2011","February","Yes","Monday","No","Mist","0.303333","0.284075","0.605","0.307846","195","912","1107","Dingin","Cold","679","1","1107","","Night","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-22","Winter","2011","February","No","Tuesday","Yes","Clear","0.182222","0.186033","0.577778","0.195683","74","1376","1450","Sangat Dingin","Very Cold","678","1","1450","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-23","Winter","2011","February","No","Wednesday","Yes","Clear","0.221739","0.245717","0.423043","0.094113","139","1778","1917","Dingin","Cold","677","1","1917","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-24","Winter","2011","February","No","Thursday","Yes","Mist","0.295652","0.289191","0.697391","0.250496","100","1707","1807","Dingin","Cold","676","1","1807","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-25","Winter","2011","February","No","Friday","Yes","Mist","0.364348","0.350461","0.712174","0.346539","120","1341","1461","Dingin","Cold","675","1","1461","","Morning","High Humidity","","Morning","High Humidity"
"2011-02-26","Winter","2011","February","No","Saturday","No","Clear","0.2825","0.282192","0.537917","0.186571","424","1545","1969","Dingin","Cold","674","1","1969","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-02-27","Winter","2011","February","No","Sunday","No","Clear","0.343478","0.351109","0.68","0.125248","694","1708","2402","Dingin","Cold","673","1","2402","","Morning","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-02-28","Winter","2011","February","No","Monday","Yes","Mist","0.407273","0.400118","0.876364","0.289686","81","1365","1446","Sedang","Mild","672","1","1446","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-03-01","Winter","2011","March","No","Tuesday","Yes","Clear","0.266667","0.263879","0.535","0.216425","137","1714","1851","Dingin","Cold","671","1","1851","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-02","Winter","2011","March","No","Wednesday","Yes","Clear","0.335","0.320071","0.449583","0.307833","231","1903","2134","Dingin","Cold","670","1","2134","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-03","Winter","2011","March","No","Thursday","Yes","Clear","0.198333","0.200133","0.318333","0.225754","123","1562","1685","Sangat Dingin","Very Cold","669","1","1685","","Afternoon","Low Humidity","","Afternoon","Low Humidity"
"2011-03-04","Winter","2011","March","No","Friday","Yes","Mist","0.261667","0.255679","0.610417","0.203346","214","1730","1944","Dingin","Cold","668","1","1944","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-05","Winter","2011","March","No","Saturday","No","Mist","0.384167","0.378779","0.789167","0.251871","640","1437","2077","Dingin","Cold","667","1","2077","","Afternoon","High Humidity","","Evening","High Humidity"
"2011-03-06","Winter","2011","March","No","Sunday","No","Mist","0.376522","0.366252","0.948261","0.343287","114","491","605","Dingin","Cold","666","1","605","","Evening","High Humidity","","Evening","High Humidity"
"2011-03-07","Winter","2011","March","No","Monday","Yes","Clear","0.261739","0.238461","0.551304","0.341352","244","1628","1872","Dingin","Cold","665","1","1872","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-03-08","Winter","2011","March","No","Tuesday","Yes","Clear","0.2925","0.3024","0.420833","0.12065","316","1817","2133","Dingin","Cold","664","1","2133","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-03-09","Winter","2011","March","No","Wednesday","Yes","Mist","0.295833","0.286608","0.775417","0.22015","191","1700","1891","Dingin","Cold","663","1","1891","","Evening","High Humidity","","Evening","High Humidity"
"2011-03-10","Winter","2011","March","No","Thursday","Yes","Light Snow/Rain","0.389091","0.385668","0","0.261877","46","577","623","Dingin","Cold","662","1","623","","Evening","Low Humidity","","Evening","Low Humidity"
"2011-03-11","Winter","2011","March","No","Friday","Yes","Mist","0.316522","0.305","0.649565","0.23297","247","1730","1977","Dingin","Cold","661","1","1977","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-03-12","Winter","2011","March","No","Saturday","No","Clear","0.329167","0.32575","0.594583","0.220775","724","1408","2132","Dingin","Cold","660","1","2132","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-03-13","Winter","2011","March","No","Sunday","No","Clear","0.384348","0.380091","0.527391","0.270604","982","1435","2417","Dingin","Cold","659","1","2417","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-03-14","Winter","2011","March","No","Monday","Yes","Clear","0.325217","0.332","0.496957","0.136926","359","1687","2046","Dingin","Cold","658","1","2046","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-03-15","Winter","2011","March","No","Tuesday","Yes","Mist","0.317391","0.318178","0.655652","0.184309","289","1767","2056","Dingin","Cold","657","1","2056","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-03-16","Winter","2011","March","No","Wednesday","Yes","Mist","0.365217","0.36693","0.776522","0.203117","321","1871","2192","Dingin","Cold","656","1","2192","","Night","High Humidity","","Morning","High Humidity"
"2011-03-17","Winter","2011","March","No","Thursday","Yes","Clear","0.415","0.410333","0.602917","0.209579","424","2320","2744","Sedang","Mild","655","1","2744","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-03-18","Winter","2011","March","No","Friday","Yes","Clear","0.54","0.527009","0.525217","0.231017","884","2355","3239","Sedang","Mild","654","1","3239","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-03-19","Winter","2011","March","No","Saturday","No","Clear","0.4725","0.466525","0.379167","0.368167","1424","1693","3117","Sedang","Mild","653","1","3117","","Morning","Low Humidity","","Morning","Low Humidity"
"2011-03-20","Winter","2011","March","No","Sunday","No","Clear","0.3325","0.32575","0.47375","0.207721","1047","1424","2471","Dingin","Cold","652","1","2471","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-03-21","Spring","2011","March","No","Monday","Yes","Mist","0.430435","0.409735","0.737391","0.288783","401","1676","2077","Sedang","Mild","651","1","2077","","Morning","High Humidity","","Morning","High Humidity"
"2011-03-22","Spring","2011","March","No","Tuesday","Yes","Clear","0.441667","0.440642","0.624583","0.22575","460","2243","2703","Sedang","Mild","650","1","2703","","Morning","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-23","Spring","2011","March","No","Wednesday","Yes","Mist","0.346957","0.337939","0.839565","0.234261","203","1918","2121","Dingin","Cold","649","1","2121","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-03-24","Spring","2011","March","No","Thursday","Yes","Mist","0.285","0.270833","0.805833","0.243787","166","1699","1865","Dingin","Cold","648","1","1865","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-03-25","Spring","2011","March","No","Friday","Yes","Clear","0.264167","0.256312","0.495","0.230725","300","1910","2210","Dingin","Cold","647","1","2210","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-26","Spring","2011","March","No","Saturday","No","Clear","0.265833","0.257571","0.394167","0.209571","981","1515","2496","Dingin","Cold","646","1","2496","","Afternoon","Low Humidity","","Afternoon","Low Humidity"
"2011-03-27","Spring","2011","March","No","Sunday","No","Mist","0.253043","0.250339","0.493913","0.1843","472","1221","1693","Dingin","Cold","645","1","1693","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-03-28","Spring","2011","March","No","Monday","Yes","Clear","0.264348","0.257574","0.302174","0.212204","222","1806","2028","Dingin","Cold","644","1","2028","","Afternoon","Low Humidity","","Evening","Low Humidity"
"2011-03-29","Spring","2011","March","No","Tuesday","Yes","Clear","0.3025","0.292908","0.314167","0.226996","317","2108","2425","Dingin","Cold","643","1","2425","","Evening","Low Humidity","","Evening","Low Humidity"
"2011-03-30","Spring","2011","March","No","Wednesday","Yes","Mist","0.3","0.29735","0.646667","0.172888","168","1368","1536","Dingin","Cold","642","1","1536","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-03-31","Spring","2011","March","No","Thursday","Yes","Light Snow/Rain","0.268333","0.257575","0.918333","0.217646","179","1506","1685","Dingin","Cold","641","1","1685","","Evening","High Humidity","","Evening","High Humidity"
"2011-04-01","Spring","2011","April","No","Friday","Yes","Mist","0.3","0.283454","0.68625","0.258708","307","1920","2227","Dingin","Cold","640","1","2227","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-04-02","Spring","2011","April","No","Saturday","No","Mist","0.315","0.315637","0.65375","0.197146","898","1354","2252","Dingin","Cold","639","1","2252","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-04-03","Spring","2011","April","No","Sunday","No","Clear","0.378333","0.378767","0.48","0.182213","1651","1598","3249","Dingin","Cold","638","1","3249","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-04","Spring","2011","April","No","Monday","Yes","Clear","0.573333","0.542929","0.42625","0.385571","734","2381","3115","Sedang","Mild","637","1","3115","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-05","Spring","2011","April","No","Tuesday","Yes","Mist","0.414167","0.39835","0.642083","0.388067","167","1628","1795","Sedang","Mild","636","1","1795","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-06","Spring","2011","April","No","Wednesday","Yes","Clear","0.390833","0.387608","0.470833","0.263063","413","2395","2808","Dingin","Cold","635","1","2808","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-07","Spring","2011","April","No","Thursday","Yes","Clear","0.4375","0.433696","0.602917","0.162312","571","2570","3141","Sedang","Mild","634","1","3141","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-08","Spring","2011","April","No","Friday","Yes","Mist","0.335833","0.324479","0.83625","0.226992","172","1299","1471","Dingin","Cold","633","1","1471","","Night","High Humidity","","Morning","High Humidity"
"2011-04-09","Spring","2011","April","No","Saturday","No","Mist","0.3425","0.341529","0.8775","0.133083","879","1576","2455","Dingin","Cold","632","1","2455","","Morning","High Humidity","","Morning","High Humidity"
"2011-04-10","Spring","2011","April","No","Sunday","No","Mist","0.426667","0.426737","0.8575","0.146767","1188","1707","2895","Sedang","Mild","631","1","2895","","Morning","High Humidity","","Morning","High Humidity"
"2011-04-11","Spring","2011","April","No","Monday","Yes","Mist","0.595652","0.565217","0.716956","0.324474","855","2493","3348","Sedang","Mild","630","1","3348","","Morning","High Humidity","","Morning","High Humidity"
"2011-04-12","Spring","2011","April","No","Tuesday","Yes","Mist","0.5025","0.493054","0.739167","0.274879","257","1777","2034","Sedang","Mild","629","1","2034","","Morning","High Humidity","","Morning","High Humidity"
"2011-04-13","Spring","2011","April","No","Wednesday","Yes","Mist","0.4125","0.417283","0.819167","0.250617","209","1953","2162","Sedang","Mild","628","1","2162","","Morning","High Humidity","","Morning","High Humidity"
"2011-04-14","Spring","2011","April","No","Thursday","Yes","Clear","0.4675","0.462742","0.540417","0.1107","529","2738","3267","Sedang","Mild","627","1","3267","","Morning","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-04-15","Spring","2011","April","Yes","Friday","No","Clear","0.446667","0.441913","0.67125","0.226375","642","2484","3126","Sedang","Mild","626","1","3126","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-04-16","Spring","2011","April","No","Saturday","No","Light Snow/Rain","0.430833","0.425492","0.888333","0.340808","121","674","795","Sedang","Mild","625","1","795","","Afternoon","High Humidity","","Afternoon","High Humidity"
"2011-04-17","Spring","2011","April","No","Sunday","No","Clear","0.456667","0.445696","0.479583","0.303496","1558","2186","3744","Sedang","Mild","624","1","3744","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-04-18","Spring","2011","April","No","Monday","Yes","Clear","0.5125","0.503146","0.5425","0.163567","669","2760","3429","Sedang","Mild","623","1","3429","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-04-19","Spring","2011","April","No","Tuesday","Yes","Mist","0.505833","0.489258","0.665833","0.157971","409","2795","3204","Sedang","Mild","622","1","3204","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-04-20","Spring","2011","April","No","Wednesday","Yes","Clear","0.595","0.564392","0.614167","0.241925","613","3331","3944","Sedang","Mild","621","1","3944","","Afternoon","Moderate Humidity","","Evening","Moderate Humidity"
"2011-04-21","Spring","2011","April","No","Thursday","Yes","Clear","0.459167","0.453892","0.407083","0.325258","745","3444","4189","Sedang","Mild","620","1","4189","","Evening","Moderate Humidity","","Evening","Moderate Humidity"
"2011-04-22","Spring","2011","April","No","Friday","Yes","Mist","0.336667","0.321954","0.729583","0.219521","177","1506","1683","Dingin","Cold","619","1","1683","","Evening","High Humidity","","Evening","High Humidity"
"2011-04-23","Spring","2011","April","No","Saturday","No","Mist","0.46","0.450121","0.887917","0.230725","1462","2574","4036","Sedang","Mild","618","1","4036","","Evening","High Humidity","","Evening","High Humidity"
"2011-04-24","Spring","2011","April","No","Sunday","No","Mist","0.581667","0.551763","0.810833","0.192175","1710","2481","4191","Sedang","Mild","617","1","4191","","Evening","High Humidity","","Evening","High Humidity"
"2011-04-25","Spring","2011","April","No","Monday","Yes","Clear","0.606667","0.5745","0.776667","0.185333","773","3300","4073","Hangat","Warm","616","1","4073","","Evening","High Humidity","","Evening","High Humidity"
"2011-04-26","Spring","2011","April","No","Tuesday","Yes","Clear","0.631667","0.594083","0.729167","0.3265","678","3722","4400","Hangat","Warm","615","1","4400","","Night","High Humidity","","Night","High Humidity"
"2011-04-27","Spring","2011","April","No","Wednesday","Yes","Mist","0.62","0.575142","0.835417","0.3122","547","3325","3872","Hangat","Warm","614","1","3872","","Night","High Humidity","","Night","High Humidity"
"2011-04-28","Spring","2011","April","No","Thursday","Yes","Mist","0.6175","0.578929","0.700833","0.320908","569","3489","4058","Hangat","Warm","613","1","4058","","Night","High Humidity","","Night","High Humidity"
"2011-04-29","Spring","2011","April","No","Friday","Yes","Clear","0.51","0.497463","0.457083","0.240063","878","3717","4595","Sedang","Mild","612","1","4595","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-04-30","Spring","2011","April","No","Saturday","No","Clear","0.4725","0.464021","0.503333","0.235075","1965","3347","5312","Sedang","Mild","611","1","5312","","Night","Moderate Humidity","","Night","Moderate Humidity"
"2011-05-01","Spring","2011","May","No","Sunday","No","Mist","0.451667","0.448204","0.762083","0.106354","1138","2213","3351","Sedang","Mild","610","1","3351","","Night","High Humidity","","Morning","High Humidity"
"2011-05-02","Spring","2011","May","No","Monday","Yes","Mist","0.549167","0.532833","0.73","0.183454","847","3554","4401","Sedang","Mild","609","1","4401","","Morning","High Humidity","","Morning","High Humidity"
"2011-05-03","Spring","2011","May","No","Tuesday","Yes","Mist","0.616667","0.582079","0.697083","0.342667","603","3848","4451","Hangat","Warm","608","1","4451","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-05-04","Spring","2011","May","No","Wednesday","Yes","Mist","0.414167","0.40465","0.737083","0.328996","255","2378","2633","Sedang","Mild","607","1","2633","","Morning","High Humidity","","Morning","High Humidity"
"2011-05-05","Spring","2011","May","No","Thursday","Yes","Clear","0.459167","0.441917","0.444167","0.295392","614","3819","4433","Sedang","Mild","606","1","4433","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-05-06","Spring","2011","May","No","Friday","Yes","Clear","0.479167","0.474117","0.59","0.228246","894","3714","4608","Sedang","Mild","605","1","4608","","Morning","Moderate Humidity","","Morning","Moderate Humidity"
"2011-05-07","Spring","2011","May","No","Saturday","No","Clear","0.52","0.512621","0.54125","0.16045","1612","3102","4714","Sedang","Mild","604","1","4714","","Morning","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-05-08","Spring","2011","May","No","Sunday","No","Clear","0.528333","0.518933","0.631667","0.0746375","1401","2932","4333","Sedang","Mild","603","1","4333","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-05-09","Spring","2011","May","No","Monday","Yes","Clear","0.5325","0.525246","0.58875","0.176","664","3698","4362","Sedang","Mild","602","1","4362","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-05-10","Spring","2011","May","No","Tuesday","Yes","Clear","0.5325","0.522721","0.489167","0.115671","694","4109","4803","Sedang","Mild","601","1","4803","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-05-11","Spring","2011","May","No","Wednesday","Yes","Clear","0.5425","0.5284","0.632917","0.120642","550","3632","4182","Sedang","Mild","600","1","4182","","Afternoon","Moderate Humidity","","Afternoon","Moderate Humidity"
"2011-05-12","Spring","2011","May","No","Thursday","Yes","Clear","0.535","0.523363","0.7475","0.189667","695","4169","4864","Sedang","Mild","599","1","4864","","Afternoon","High Humidity","","Afternoon","High Humidity"
